,event_id,event_id_cnty,event_date,year,time_precision,latitude,longitude,level,radius,note_on_location,location,source,notes,number_of_report
11,CN_191211,CN,12/11/2019 - 12/19/2022,2019,,9.92615,113.77425,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
12,CN_191211,CN,12/11/2019 - 12/19/2023,2019,,9.55429,112.8937,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
13,CN_191211,CN,12/11/2019 - 12/19/2024,2019,,9.92086,113.76657,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
14,CN_191211,CN,12/11/2019 - 12/19/2025,2019,,9.55432,112.8937,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
15,CN_191211,CN,12/11/2019 - 12/19/2026,2019,,9.91874,113.76437,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
16,CN_191211,CN,12/11/2019 - 12/19/2027,2019,,9.55429,112.8937,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
17,CN_191211,CN,12/11/2019 - 12/19/2028,2019,,9.91559,113.76435,1,0.08,VesselFinder,waters claimed by both Indonesia and Malaysia,https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",1
18,CN_191210_a,CN,12/10/19,2019,,7.250842,111.362161,4,0.7,,"broke away from the boat group in Malaysia’s EEZ and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply",https://thanhnien.vn/the-gioi/tau-canh-sat-bien-trung-quoc-long-hanh-o-bien-dong-1177552.html; https://soha.vn/tau-hai-canh-trung-quoc-quay-roi-vung-bien-3-nuoc-dong-nam-a-tang-muc-do-gay-han-20200203163828011.htm; https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia/; https://www.bbc.com/vietnamese/world-50950233,"On November 28, CCG 5403 sailed out of port in Hainan Province’s Sanya, headed south through the Spratly Islands, and turned east. On December 4 it entered the EEZs of Malaysia and then Brunei. The 5403 is a Zhaolai-class patrol ship and at nearly 5,000 tons it is considerably larger than both the coast guard and navy ships that Southeast Asian states might deploy to confront it. It joined the CCG 5202, which had arrived a day earlier. That ship had left the artificial harbor at China-occupied Subi Reef on November 29, made a detour into the northern reaches of Indonesia’s EEZ on December 1-2, and headed for Malaysian waters. At 2,700 tons, the Zhaojun-class 5202 is considerably smaller than the 5403, but it is also much better armed, sporting a 76-mm cannon. For nearly a week, the two ships patrolled first Brunei’s EEZ and then Malaysia’s. The 1,300-ton CMS 2169 was with them during at least some, and perhaps all, of this. Its AIS was detected on December 8 alongside the 5202 and 5403—the first time it had been picked up since leaving Sanya on November 18. It would continue to only broadcast sporadically for the rest of the operation. If Brunei or Malaysia deployed government vessels to confront this Chinese incursion, they did not broadcast AIS. And unlike Indonesia’s later response, neither went public with evidence of Chinese fishing vessels in their EEZ. But that this coordinated group of law enforcement vessels was already escorting the same fishing boats they would soon lead into Indonesian waters seems very likely. Their patrols in Brunei’s EEZ in particular seem to have no other explanation. On December 9, the 4,000-ton Shucha II-class CCG 5302 sailed from Mischief Reef to join the group in Malaysia’s EEZ. The next day, the 5202 broke away and sailed to Fiery Cross Reef in the Spratlys, presumably to resupply. The others headed southwest, entering waters claimed by Indonesia on December 11. This was more than a week before Indonesian authorities first reported the Chinese fishing presence in its EEZ. From December 11 to 19, the 5203, 5403, and 2169 operated freely in waters claimed by both Indonesia and Malaysia. On December 16, the first and only AIS signal from one of the fishing vessels they were escorting was detected. The Gubeiyu 88603 was seen briefly about 115 nautical miles from Indonesia’s Natuna Besar island.",4
19,CN_191210_b,CN,12/10/19,2019,,6.714085,111.0459666,4,0.7,https://i2.wp.com/amti.csis.org/wp-content/uploads/2020/01/2-Dec-10-to-19-moving-into-Indonesia-retitle.png?w=947&ssl=1,North Natuna Regency,https://www.bbc.com/vietnamese/world-50950233,1 CCG ship entered North Natuna Regency waters,1
20,CN_191209,CN,12/9/19,2019,,5.7950028,110.0139551,4,0.7,https://i2.wp.com/amti.csis.org/wp-content/uploads/2020/01/2-Dec-10-to-19-moving-into-Indonesia-retitle.png?w=947&ssl=1,sailed from Mischief Reef to join the group in Malaysia’s EEZ,https://thanhnien.vn/the-gioi/tau-canh-sat-bien-trung-quoc-long-hanh-o-bien-dong-1177552.html; https://soha.vn/tau-hai-canh-trung-quoc-quay-roi-vung-bien-3-nuoc-dong-nam-a-tang-muc-do-gay-han-20200203163828011.htm; https://amti.csis.org/gone-fishing-tracking-chinas-flotilla-from-brunei-to-indonesia,CCG 5302 departed from Mischief Reef and joined other ships entered Malaysia's EEZ in early Dec 2019,3
